Year,Division,Horse,OverallPlacing,USDFNumber,OverallScore
2002,FEI5,Rosabella,1,37232,7.840
2002,FEI5,Favereux,2,38714,7.680
2002,FEI5,Devon,3,38984,7.420
2002,FEI5,Welfenstein,4,40474,7.140
2002,FEI5,R-tistik,5,37123,7.100
2002,FEI5,Pampero,6,41386,6.820
2002,FEI6,Oleander,1,35062,8.240
2002,FEI6,Freestyle,2,39380,7.400
2002,FEI6,Wincenzo,3,1026740,7.000
2002,FEI6,Olympus,4,42683,6.860
2003,FEI5,Beemer,1,1003181,8.620
2003,FEI5,Remy Martin,2,47167,8.520
2003,FEI6,Fabrice S,1,42782,8.320
2003,FEI6,Persimmon ISF,2,38459,7.840
2004,FEI5,Royal Prince,1,1016896,9.140
2004,FEI5,Sir Sinclair,2,1015413,8.260
2004,FEI5,Donnervogel,3,1008832,7.900
2004,FEI5,Saint Simon,4,37280,7.460
2004,FEI5,Savanna,5,1013602,7.440
2004,FEI5,Silverado,6,38639,6.900
2004,FEI5,Leiden,7,1016253,6.860
2004,FEI5,Remy Martin,8,1016635,6.780
2004,FEI5,Rossini M,8,1004663,6.780
2004,FEI5,Wylie Q,10,44283,6.700
2004,FEI5,Rubens de Mesille,11,1020047,6.580
2004,FEI5,Superstarr,12,1018249,6.540
2004,FEI5,Ventura,13,40548,6.460
2004,FEI5,Heroico Pequeno,14,1017693,6.440
2004,FEI5,Ferragamma,15,1002537,6.420
2004,FEI5,Commonwealth TRF,16,33840,6.400
2004,FEI5,Finnegan,17,37180,6.220
2004,FEI5,Cacique,18,1007175,5.940
2004,FEI6,Revolution,1,37164,7.480
2004,FEI6,Rykaard,2,43275,7.460
2004,FEI6,Rhythm,3,44257,7.280
2004,FEI6,Romantic,4,1016261,7.240
2004,FEI6,Raison d'Etre,5,40681,7.220
2004,FEI6,Cordobino,6,1018208,6.960
2004,FEI6,Rumor,7,1011616,6.900
2004,FEI6,Rachmaninoff,8,1005052,6.880
2004,FEI6,Rakker,8,1001734,6.880
2004,FEI6,Famos,10,1009049,6.840
2004,FEI6,Pam-A-Lam,11,44357,6.800
2004,FEI6,Favory VI Bellanna,12,1008422,6.740
2004,FEI6,Favory VII Andorella,13,1008421,6.680
2004,FEI6,Cameron de Mesille,14,1001985,6.580
2004,FEI6,Caletino,15,47196,5.800
2005,FEI5,Currency DC,1,1035693,8.356
2005,FEI5,Grand Makana,2,1015161,7.832
2005,FEI5,Brigadier,3,39969,7.620
2005,FEI5,Cash Confetti,4,46742,7.572
2005,FEI5,Wolkenwand,5,1019513,7.444
2005,FEI5,Pacino,6,40947,7.440
2005,FEI5,Catapult,7,1011519,7.348
2005,FEI5,Carreras,8,1039798,7.292
2005,FEI5,Laural,9,44895,7.136
2005,FEI5,Twilight,10,1013083,7.128
2005,FEI5,Carnegie,11,39789,7.116
2005,FEI5,Florian,12,1027982,7.084
2005,FEI5,Double Entendre,13,1023695,6.860
2005,FEI6,Sir Sinclair,1,1015413,8.452
2005,FEI6,Fino,2,1020034,8.236
2005,FEI6,Golden Choice DC,3,1016898,8.220
2005,FEI6,Don Principe,4,1033231,7.872
2005,FEI6,Superman,5,1025218,7.768
2005,FEI6,Savanna,6,1013602,7.580
2005,FEI6,Rossini M,7,1004663,7.572
2005,FEI6,Raphoni-Solyst,8,1034884,7.540
2005,FEI6,Dark Dream,9,1024951,7.192
2005,FEI6,Saint Simmon,10,37280,7.032
2005,FEI6,Staccato,11,38395,6.776
2005,FEI6,Savant,12,1006243,6.680
2005,FEI6,Cacique,13,1007175,6.104
2006,FEI6,Catapult,1,1011519,7.956
2006,FEI6,Brigadier,1,39969,7.956
2006,FEI6,Cobra,3,1038443,7.636
2006,FEI6,Ghambade,4,39135,7.280
2006,FEI6,Tap Dance,5,1045200,7.244
2006,FEI6,Starlight Express,6,1030587,7.196
2006,FEI6,Lullaby,7,1043482,7.016
2006,FEI6,Carnegie,8,39789,6.880
2006,FEI6,Tacolando Triple R,9,1015498,6.8270
2006,FEI6,Twilight,10,1013083,6.616
2006,FEI6,Wolkenwand,11,1019513,6.516
2006,FEI6,Talent,12,1019399,6.256
2006,FEI5,Up to Date,1,43689,8.450
2006,FEI5,Gisele,2,1048833,8.400
2006,FEI5,Roter Milan,3,1037498,7.884
2006,FEI5,Unitas,4,1032242,7.872
2006,FEI5,Harmony's FX,5,1039669,7.832
2006,FEI5,Donnermuth,6,1029497,7.700
2006,FEI5,Donates,7,1019322,7.640
2006,FEI5,Mix Max,8,1025834,7.628
2006,FEI5,Leopold Q,9,1031405,7.520
2006,FEI5,Eeltsje F,10,1044103,7.480
2006,FEI5,Donarweiss GGF,11,41002,7.432
2006,FEI5,Redford,12,1028940,7.348
2006,FEI5,S Infinity,13,1024407,7.00
2006,USEF4,BW-Callista,1,44921,9.000
2006,USEF4,Roccoca WF,2,1047389,8.700
2006,USEF4,Faulkner,3,1044238,8.600
2006,USEF4,Fedora,4,44344,8.060
2006,USEF4,Quno,5,1045522,7.720
2006,USEF4,Froelich,6,45334,7.540
2006,USEF4,Vivaldi-V,7,1041299,7.520
2006,USEF4,Solaris Hit,8,1049161,7.500
2006,USEF4,Calimar,9,47128,7.360
2006,USEF4,Ready or Not,10,1045678,7.300
2006,USEF4,Fivestar,11,1049168,7.240
2006,USEF4,Labadia,12,1049188,7.180
2006,USEF4,Raison de Joie,13,1022443,7.160
2006,USEF4,Last Call,14,1044206,7.100
2006,USEF4,Vega,15,1047877,7.020
2006,USEF4,Flamboyant,16,1021798,6.500
2006,USEF4,V-Frolik,17,1042636,6.420
2007,DHPSG,Don Angelo,1,1043373,70.000
2007,DHPSG,Come On II,2,1043143,68.250
2007,DHPSG,Don Principe,4,1033231,66.919
2007,DHPSG,Sandor,3,1016724,66.917
2007,DHPSG,Farinelli,5,1043152,65.917
2007,DHPSG,D'Artagnan,6,1027759,64.417
2007,DHPSG,Toscano,7,1056132,64.167
2007,DHPSG,Rykaard,8,43275,63.083
2007,DHPSG,Lullaby,9,1043482,62.583
2007,DHPSG,Rotterdam,10,1042105,62.333
2007,DHPSG,Liberty LHF,11,1028200,61.833
2007,DHPSG,Viva Las Vegas,12,44370,61.667
2007,DHPSG,Don Perry,13,1044689,59.167
2007,DHPSG,Savant,14,1006243,58.500
2007,FEI5,Cabana Boy,1,45251,8.408
2007,FEI5,Roccoca WF,2,1047389,7.880
2007,FEI5,Lacord,3,1061422,7.863
2007,FEI5,Hit Parade SFS,4,1057888,7.800
2007,FEI5,Lord Albert,5,1057386,7.708
2007,FEI5,Froelich,6,45334,7.624
2007,FEI5,Valiant,7,1049336,7.572
2007,FEI5,Cipriani,8,1042807,7.564
2007,FEI5,Valeska DG,9,45153,7.400
2007,FEI5,Rochefort,10,1052425,7.324
2007,FEI5,Ready or Not,11,1045678,7.284
2007,FEI5,Valkyriez,12,1051041,7.276
2007,FEI5,Voltaage,13,1043601,7.160
2007,FEI5,Donavan,14,117389,6.732
2007,FEI6,Grandioso,1,1049928,8.368
2007,FEI6,Donates,2,1019322,7.804
2007,FEI6,Unitas,3,1032242,7.668
2007,FEI6,Sancette,4,1057890,7.604
2007,FEI6,Eeltsje F,5,1044103,7.452
2007,FEI6,Leonessa,6,1047123,7.372
2007,FEI6,Donnermuth,7,1029497,7.308
2007,FEI6,Ronaldo 109,8,1051209,7.300
2007,FEI6,Redford,9,1028940,7.036
2007,FEI6,Algebraic Expression,10,1043124,6.856
2007,FEI6,Rolex H,11,1016601,6.688
2007,FEI6,Amadeus,12,1032434,6.616
2007,FEI6,Collector's Item,13,1035043,6.516
2007,FEI6,UB 40,14,1042261,2.808
2007,USEF4,Waterloo SE,1,1053012,8.620
2007,USEF4,Reliance,2,1061628,8.160
2007,USEF4,River Side Lady,3,1054073,7.960
2007,USEF4,Winston,4,1057170,7.760
2007,USEF4,Sandomere,5,1056152,7.720
2007,USEF4,Willa,6,1062049,7.700
2007,USEF4,Davy Crockett,7,1026565,7.640
2007,USEF4,Woodwind,8,1050337,7.620
2007,USEF4,Watch Me,9,1057530,7.580
2007,USEF4,Pikko del Cerro HU,10,1040300,7.520
2007,USEF4,Watch Me,11,1057452,7.300
2007,USEF4,Guilliani,11,1045673,7.300
2007,USEF4,Fuerst Consul,13,1062724,7.280
2007,USEF4,Winner,14,1043598,7.080
2007,USEF4,Maximilian of Wurttemberg,15,1062237,6.940
2007,USEF4,Wunder Woman,16,1012722,6.900
2007,USEF4,Blue Hors Lyla,17,1013418,6.820
2007,USEF4,Liokai,18,1062001,6.720
2007,USEF4,Wunderland,19,1012154,6.200
2007,USEF4,Rebecca,20,1063158,5.940
2008,DHPSG,UII,1,1055259,69.456
2008,DHPSG,Golden Choice,2,1016898,69.336
2008,DHPSG,Grandioso,3,1049928,67.969
2008,DHPSG,Settino,4,1018798,67.158
2008,DHPSG,Don Principe,5,1033231,66.667
2008,DHPSG,Dolomit,6,1033718,65.774
2008,DHPSG,Wolkenwand,7,1019513,64.414
2008,DHPSG,Don Devere,8,1004060,64.110
2008,DHPSG,Rhett,9,1061467,63.919
2008,DHPSG,Currency DC,10,1035693,63.859
2008,DHPSG,Eeltsje F,11,1044103,63.464
2008,DHPSG,Sir Sinclair,12,1015413,62.947
2008,DHPSG,Genuine Gem,13,1042411,62.914
2008,DHPSG,Carnegie,14,39789,62.107
2008,DHPSG,Superman,15,1025218,61.936
2008,DHPSG,Troy,16,1062206,61.842
2008,DHPSG,Amidala,17,1031631,55.913
2008,FEI6,Cabana Boy,1,45251,8.644
2008,FEI6,Weltino's Magic,2,1066325,8.212
2008,FEI6,Rohmero,3,1062674,7.868
2008,FEI6,Hit Parade SFS,4,1057888,7.588
2008,FEI6,Calimar,5,47128,7.544
2008,FEI6,Sauvignon,6,1060957,7.212
2008,FEI6,Solaris Hit,7,1049161,7.172
2008,FEI6,Solei,8,1056821,7.156
2008,FEI6,Froelich,9,45334,7.152
2008,FEI6,Leoluigi,10,1071104,7.144
2008,FEI6,Flaming Heart,11,1054394,7.112
2008,FEI5,Winsor Rox,1,1091636,8.027
2008,FEI5,Ronatella S,2,1055478,7.843
2008,FEI5,Lucky Girl BC,3,1067883,7.844
2008,FEI5,Pikko del Cerro HU,4,1040300,7.820
2008,FEI5,Wish,5,1062007,7.764
2008,FEI5,Wiseguy,6,1068980,7.760
2008,FEI5,Matinee SF,7,1065779,7.716
2008,FEI5,Wisdom MVS,8,1039297,7.612
2008,FEI5,Wencenza,9,1055950,7.508
2008,FEI5,Sandomere,10,1056152,7.504
2008,FEI5,River Side Lady,11,1054073,7.460
2008,FEI5,Wersace,12,1044581,7.248
2008,FEI5,Exemplaar,13,1050038,7.100
2008,FEI5,Watch Me,14,1057452,7.076
2008,USEF4,Selten HW,1,1031805,8.560
2008,USEF4,Zatino H,2,1067579,8.240
2008,USEF4,Donzi,3,1073349,7.780
2008,USEF4,Ziggouras-Tar,4,1057533,7.680
2008,USEF4,Fuerst River H,5,1053760,7.580
2008,USEF4,Richmond HL,6,1070537,7.560
2008,USEF4,Rastino,7,1073095,7.380
2008,USEF4,Faya,8,1068109,7.180
2008,USEF4,Contigo,9,1072868,7.140
2008,USEF4,Rorick,10,1031938,7.060
2008,USEF4,Cosmopolitan,11,1035139,6.980
2008,USEF4,Conquestador,12,1068977,6.960
2008,USEF4,Revelle,13,1058631,6.840
2008,USEF4,Sirius,14,1073378,6.740
2008,USEF4,Delauren,15,1066614,6.660
2008,USEF4,Zandor,16,1055286,6.640
2009,DHPSG,Cabana Boy,1,45251,73.444
2009,DHPSG,Don Bailey,2,1078443,68.287
2009,DHPSG,Chicago,3,1075699,67.467
2009,DHPSG,Rower BE,4,1062029,66.751
2009,DHPSG,Toscano,5,1056132,66.277
2009,DHPSG,Taison,6,1031515,66.217
2009,DHPSG,Ranko,7,1056927,65.829
2009,DHPSG,Redondo,8,1056428,65.520
2009,DHPSG,Manhattan,9,1047294,63.311
2009,DHPSG,Baryshnikov,10,1029967,63.133
2009,DHPSG,Rolex H,11,1016601,62.985
2009,DHPSG,Sandro Simian,12,1047973,62.537
2009,DHPSG,Bellagio,13,1049660,60.295
2009,DHPSG,Titaan,14,1032004,59.859
2009,DHPSG,Collector's Item,15,1035043,58.450
2009,FEI6,Pikko del Cerro HU,1,1040300,7.900
2009,FEI6,Faberge,2,1080424,7.851
2009,FEI6,Winsor Rox,3,1091636,7.664
2009,FEI6,Warsteiner,4,1062073,7.632
2009,FEI6,Waterloo SE,5,1053012,7.447
2009,FEI6,Sandomere,6,1056152,7.420
2009,FEI6,Romeo,7,1068273,7.412
2009,FEI6,Walking on Sunshine,8,1057223,7.384
2009,FEI6,Contendion,9,1010788,7.096
2009,FEI6,Matinee SF,10,1065779,7.084
2009,FEI6,Royal Waltz,11,1061037,6.776
2009,FEI6,Bijoux,12,1072366,2.744
2009,FEI6,Reliance,13,1061628,2.424
2009,FEI5,Selten HW,1,1031805,8.520
2009,FEI5,San Shivago,2,1068461,8.284
2009,FEI5,Zatino H,3,1067579,8.015
2009,FEI5,Zalona DG,4,1037393,7.840
2009,FEI5,Steinway,5,1037788,7.636
2009,FEI5,Adora's Radiant Heart,6,1077829,7.348
2009,FEI5,Rashka,7,1026428,7.328
2009,FEI5,Hudson,8,1080578,7.152
2009,FEI5,Pikko del Rio,9,1069468,7.128
2009,FEI5,Zorba SE,10,1065611,7.120
2009,FEI5,Cosmopolitan,11,1035139,6.872
2009,FEI5,Hyperion SF,12,1073559,6.620
2009,FEI5,Donzi,13,1073349,6.468
2009,USEF4,Aesthete,1,1071800,8.680
2009,USEF4,Bon Chance,2,1075194,8.640
2009,USEF4,Sabati,3,1040689,8.380
2009,USEF4,Sir Rocco,4,1074634,7.940
2009,USEF4,Whitney,5,1079319,7.780
2009,USEF4,WakeUp,6,1055334,7.740
2009,USEF4,Suntreader,7,1075226,7.660
2009,USEF4,Dostojewski SF,8,1077594,7.240
2009,USEF4,Ahlaya,9,1073122,7.060
2009,USEF4,Alleluia WRF,10,1075732,6.960
2009,USEF4,Andiamo,11,1077813,6.900
2009,USEF4,Armani,12,1081058,6.860
2009,USEF4,Pikk Elena HU,13,1076069,6.640
2010,DHPSG,Rigo,1,1056071,71.697
2010,DHPSG,GP Delano,2,1065247,68.047
2010,DHPSG,Cipriani,3,1042807,67.869
